transaction_id,customer_id,amount,category,date,is_fraud,risk_score,processed_at
TXN000024,CUST0503,31892.09,Travel,2026-04-30,1,HIGH,2026-06-10 20:52:12
TXN000025,CUST0511,44533.89,Healthcare,2026-04-03,0,HIGH,2026-06-10 20:52:12
TXN000026,CUST0998,11771.74,Travel,2026-01-31,0,HIGH,2026-06-10 20:52:12
TXN000027,CUST0743,33438.92,Food,2026-03-12,0,HIGH,2026-06-10 20:52:12
TXN000028,CUST0356,14166.27,Healthcare,2026-01-17,0,HIGH,2026-06-10 20:52:12
TXN000029,CUST0681,27879.89,Shopping,2026-05-04,0,HIGH,2026-06-10 20:52:12
TXN000030,CUST0459,17736.72,Food,2026-04-21,0,HIGH,2026-06-10 20:52:12
TXN000031,CUST0799,15633.12,Travel,2026-01-01,0,HIGH,2026-06-10 20:52:12
TXN000032,CUST0198,133.39,Food,2026-04-27,0,LOW,2026-06-10 20:52:12
TXN000033,CUST0351,43373.45,Healthcare,2026-01-23,0,HIGH,2026-06-10 20:52:12
TXN000034,CUST0175,35158.19,Food,2026-04-28,0,HIGH,2026-06-10 20:52:12
TXN000035,CUST0855,32655.14,Healthcare,2026-05-16,0,HIGH,2026-06-10 20:52:12
TXN000036,CUST0352,21119.36,Shopping,2026-01-09,0,HIGH,2026-06-10 20:52:12
TXN000037,CUST0208,1610.8,Shopping,2026-03-15,0,LOW,2026-06-10 20:52:12
TXN000038,CUST0707,7351.28,Food,2026-05-27,0,MEDIUM,2026-06-10 20:52:12
TXN000039,CUST0568,24239.98,Shopping,2026-04-02,0,HIGH,2026-06-10 20:52:12
TXN000040,CUST0748,46128.69,Healthcare,2026-02-18,0,HIGH,2026-06-10 20:52:12
TXN000041,CUST0497,16935.61,Shopping,2026-05-06,0,HIGH,2026-06-10 20:52:12
TXN000042,CUST0555,33474.45,Food,2026-02-15,0,HIGH,2026-06-10 20:52:12
TXN000043,CUST0416,8049.77,Travel,2026-06-05,1,MEDIUM,2026-06-10 20:52:12
TXN000044,CUST0524,24605.13,Food,2026-03-19,0,HIGH,2026-06-10 20:52:12
TXN000045,CUST0824,35199.63,Shopping,2026-05-07,0,HIGH,2026-06-10 20:52:12
TXN000046,CUST0826,29100.37,Healthcare,2026-03-26,0,HIGH,2026-06-10 20:52:12
TXN000047,CUST0747,11383.81,Food,2026-02-04,0,HIGH,2026-06-10 20:52:12
TXN000048,CUST0529,18531.14,Shopping,2026-03-16,0,HIGH,2026-06-10 20:52:12
TXN000049,CUST0217,22173.57,Shopping,2026-06-08,0,HIGH,2026-06-10 20:52:12
TXN000050,CUST0217,20474.88,Healthcare,2026-03-22,0,HIGH,2026-06-10 20:52:12
TXN000051,CUST0316,40908.97,Travel,2026-01-12,0,HIGH,2026-06-10 20:52:12
TXN000052,CUST0327,12218.68,Food,2026-03-08,0,HIGH,2026-06-10 20:52:12
TXN000053,CUST0330,36549.45,Healthcare,2026-01-11,1,HIGH,2026-06-10 20:52:12
TXN000054,CUST0002,34087.71,Healthcare,2026-03-04,0,HIGH,2026-06-10 20:52:12
TXN000055,CUST0144,40171.37,Food,2026-01-02,0,HIGH,2026-06-10 20:52:12
TXN000056,CUST0283,9812.23,Travel,2026-04-18,0,MEDIUM,2026-06-10 20:52:12
TXN000057,CUST0218,16943.48,Travel,2026-04-22,0,HIGH,2026-06-10 20:52:12
TXN000058,CUST0241,38864.19,Healthcare,2026-03-25,0,HIGH,2026-06-10 20:52:12
TXN000059,CUST0857,44894.45,Shopping,2026-02-15,0,HIGH,2026-06-10 20:52:12
TXN000060,CUST0398,18001.64,Healthcare,2026-03-22,0,HIGH,2026-06-10 20:52:12
TXN000061,CUST0746,6871.97,Travel,2026-05-28,0,MEDIUM,2026-06-10 20:52:12
TXN000062,CUST0907,8375.12,Travel,2026-01-17,0,MEDIUM,2026-06-10 20:52:12
TXN000063,CUST0455,28093.62,Travel,2026-06-08,0,HIGH,2026-06-10 20:52:12
TXN000064,CUST0006,23788.5,Shopping,2026-04-29,0,HIGH,2026-06-10 20:52:12
TXN000065,CUST0996,4247.93,Travel,2026-02-26,0,LOW,2026-06-10 20:52:12
TXN000066,CUST0008,32191.01,Healthcare,2026-01-19,0,HIGH,2026-06-10 20:52:12
TXN000067,CUST0469,6360.22,Travel,2026-01-31,0,MEDIUM,2026-06-10 20:52:12
TXN000068,CUST0649,31299.25,Shopping,2026-05-04,0,HIGH,2026-06-10 20:52:12
TXN000069,CUST0585,19716.3,Food,2026-05-15,0,HIGH,2026-06-10 20:52:12
TXN000070,CUST0483,2880.19,Shopping,2026-05-20,0,LOW,2026-06-10 20:52:12
TXN000071,CUST0672,37527.64,Food,2026-01-12,0,HIGH,2026-06-10 20:52:12
TXN000072,CUST0634,47761.05,Food,2026-03-14,0,HIGH,2026-06-10 20:52:12
TXN000073,CUST0140,19331.3,Healthcare,2026-03-23,0,HIGH,2026-06-10 20:52:12
TXN000074,CUST0440,7493.09,Travel,2026-06-01,0,MEDIUM,2026-06-10 20:52:12
TXN000075,CUST0619,21413.2,Food,2026-04-25,0,HIGH,2026-06-10 20:52:12
TXN000076,CUST0639,14113.76,Healthcare,2026-03-15,0,HIGH,2026-06-10 20:52:12
TXN000077,CUST0235,48598.28,Travel,2026-03-10,0,HIGH,2026-06-10 20:52:12
TXN000078,CUST0798,26318.15,Shopping,2026-01-11,0,HIGH,2026-06-10 20:52:12
TXN000079,CUST0211,14842.35,Travel,2026-01-22,0,HIGH,2026-06-10 20:52:12
TXN000080,CUST0642,32408.29,Travel,2026-01-29,0,HIGH,2026-06-10 20:52:12
TXN000081,CUST0222,32886.93,Travel,2026-01-01,0,HIGH,2026-06-10 20:52:12
TXN000082,CUST0884,36992.75,Travel,2026-01-02,0,HIGH,2026-06-10 20:52:12
TXN000083,CUST0908,19922.42,Travel,2026-05-27,0,HIGH,2026-06-10 20:52:12
TXN000084,CUST0252,23109.33,Shopping,2026-05-19,0,HIGH,2026-06-10 20:52:12
TXN000085,CUST0992,42413.52,Food,2026-05-19,0,HIGH,2026-06-10 20:52:12
TXN000086,CUST0829,14239.58,Shopping,2026-03-06,0,HIGH,2026-06-10 20:52:12
TXN000087,CUST0647,8120.77,Travel,2026-02-13,0,MEDIUM,2026-06-10 20:52:12
TXN000088,CUST0724,30394.67,Healthcare,2026-03-02,0,HIGH,2026-06-10 20:52:12
TXN000089,CUST0810,18506.06,Healthcare,2026-04-25,0,HIGH,2026-06-10 20:52:12
TXN000090,CUST0110,43133.8,Food,2026-06-08,0,HIGH,2026-06-10 20:52:12
TXN000091,CUST0908,15858.98,Healthcare,2026-02-21,1,HIGH,2026-06-10 20:52:12
TXN000092,CUST0603,19634.71,Travel,2026-01-09,0,HIGH,2026-06-10 20:52:12
TXN000093,CUST0937,13550.25,Travel,2026-02-20,1,HIGH,2026-06-10 20:52:12
TXN000094,CUST0540,45448.13,Travel,2026-03-30,0,HIGH,2026-06-10 20:52:12
TXN000095,CUST0616,3703.74,Shopping,2026-03-08,0,LOW,2026-06-10 20:52:12
TXN000096,CUST0315,27166.89,Travel,2026-03-15,0,HIGH,2026-06-10 20:52:12
TXN000097,CUST0070,4924.13,Shopping,2026-04-24,0,LOW,2026-06-10 20:52:12
TXN000098,CUST0817,19256.45,Shopping,2026-02-20,0,HIGH,2026-06-10 20:52:12
TXN000099,CUST0132,47328.03,Shopping,2026-02-02,0,HIGH,2026-06-10 20:52:12
TXN000100,CUST0291,44022.21,Food,2026-03-19,0,HIGH,2026-06-10 20:52:12
TXN000101,CUST0109,15293.07,Food,2026-04-06,0,HIGH,2026-06-10 20:52:12
TXN000102,CUST0775,6898.75,Food,2026-02-28,0,MEDIUM,2026-06-10 20:52:12
TXN000103,CUST0707,13569.84,Food,2026-02-08,0,HIGH,2026-06-10 20:52:12
TXN000104,CUST0029,12601.96,Travel,2026-04-27,0,HIGH,2026-06-10 20:52:12
TXN000105,CUST0057,10140.37,Travel,2026-04-19,0,HIGH,2026-06-10 20:52:12
TXN000106,CUST0311,46609.02,Healthcare,2026-01-07,0,HIGH,2026-06-10 20:52:12
TXN000107,CUST0166,46961.18,Shopping,2026-03-15,0,HIGH,2026-06-10 20:52:12
TXN000108,CUST0205,13799.82,Food,2026-06-02,0,HIGH,2026-06-10 20:52:12
TXN000109,CUST0710,17468.07,Healthcare,2026-03-29,0,HIGH,2026-06-10 20:52:12
TXN000110,CUST0074,24949.12,Travel,2026-05-13,0,HIGH,2026-06-10 20:52:12
TXN000111,CUST0777,47691.28,Food,2026-02-21,0,HIGH,2026-06-10 20:52:12
TXN000112,CUST0323,29173.96,Travel,2026-03-17,0,HIGH,2026-06-10 20:52:12
TXN000113,CUST0360,10957.47,Healthcare,2026-04-18,0,HIGH,2026-06-10 20:52:12
TXN000114,CUST0688,10661.63,Food,2026-03-23,0,HIGH,2026-06-10 20:52:12
TXN000115,CUST0791,11499.06,Shopping,2026-05-21,0,HIGH,2026-06-10 20:52:12
TXN000116,CUST0747,20837.16,Shopping,2026-01-03,0,HIGH,2026-06-10 20:52:12
TXN000117,CUST0950,40473.84,Travel,2026-02-19,0,HIGH,2026-06-10 20:52:12
TXN000118,CUST0816,20650.02,Food,2026-05-11,0,HIGH,2026-06-10 20:52:12
TXN000119,CUST0263,46322.53,Travel,2026-02-07,0,HIGH,2026-06-10 20:52:12
TXN000120,CUST0595,26418.85,Healthcare,2026-03-29,0,HIGH,2026-06-10 20:52:12
TXN000121,CUST0768,27119.46,Food,2026-04-22,0,HIGH,2026-06-10 20:52:12
TXN000122,CUST0353,5317.75,Shopping,2026-05-21,0,MEDIUM,2026-06-10 20:52:12
TXN000123,CUST0174,12862.96,Shopping,2026-03-31,0,HIGH,2026-06-10 20:52:12
TXN000124,CUST0280,11643.83,Food,2026-02-11,0,HIGH,2026-06-10 20:52:12
TXN000125,CUST0579,12213.14,Food,2026-05-24,0,HIGH,2026-06-10 20:52:12
TXN000126,CUST0962,35297.86,Shopping,2026-01-09,0,HIGH,2026-06-10 20:52:12
TXN000127,CUST0049,18465.45,Healthcare,2026-04-25,0,HIGH,2026-06-10 20:52:12
TXN000128,CUST0759,46297.52,Healthcare,2026-02-13,0,HIGH,2026-06-10 20:52:12
TXN000129,CUST0258,43369.26,Travel,2026-05-12,0,HIGH,2026-06-10 20:52:12
TXN000130,CUST0041,12594.22,Healthcare,2026-05-01,1,HIGH,2026-06-10 20:52:12
TXN000131,CUST0413,20933.65,Healthcare,2026-05-10,0,HIGH,2026-06-10 20:52:12
TXN000132,CUST0537,13492.9,Food,2026-01-09,0,HIGH,2026-06-10 20:52:12
TXN000133,CUST0204,743.97,Travel,2026-03-24,0,LOW,2026-06-10 20:52:12
TXN000134,CUST0837,27475.52,Shopping,2026-06-01,0,HIGH,2026-06-10 20:52:12
TXN000135,CUST0974,22908.06,Healthcare,2026-06-09,0,HIGH,2026-06-10 20:52:12
TXN000136,CUST0115,31012.96,Food,2026-03-24,0,HIGH,2026-06-10 20:52:12
TXN000137,CUST0250,2570.85,Food,2026-02-01,0,LOW,2026-06-10 20:52:12
TXN000138,CUST0166,6306.72,Food,2026-01-07,0,MEDIUM,2026-06-10 20:52:12
TXN000139,CUST0906,10449.11,Food,2026-05-29,0,HIGH,2026-06-10 20:52:12
TXN000140,CUST0515,4534.82,Shopping,2026-02-13,0,LOW,2026-06-10 20:52:12
TXN000141,CUST0087,12228.12,Shopping,2026-05-16,0,HIGH,2026-06-10 20:52:12
TXN000142,CUST0279,1844.67,Travel,2026-04-24,0,LOW,2026-06-10 20:52:12
TXN000143,CUST0257,47965.39,Shopping,2026-02-11,0,HIGH,2026-06-10 20:52:12
TXN000144,CUST0320,49748.55,Food,2026-03-17,0,HIGH,2026-06-10 20:52:12
TXN000145,CUST0864,39492.58,Healthcare,2026-02-08,0,HIGH,2026-06-10 20:52:12
TXN000146,CUST0531,4756.89,Healthcare,2026-04-04,0,LOW,2026-06-10 20:52:12
TXN000147,CUST0332,16290.23,Food,2026-02-03,0,HIGH,2026-06-10 20:52:12
TXN000148,CUST0691,15207.07,Healthcare,2026-02-18,0,HIGH,2026-06-10 20:52:12
TXN000149,CUST0669,16415.18,Travel,2026-05-16,0,HIGH,2026-06-10 20:52:12
TXN000150,CUST0786,48335.13,Healthcare,2026-03-12,1,HIGH,2026-06-10 20:52:12
TXN000151,CUST0559,32229.34,Shopping,2026-05-16,0,HIGH,2026-06-10 20:52:12
TXN000152,CUST0908,44894.49,Food,2026-04-22,0,HIGH,2026-06-10 20:52:12
TXN000153,CUST0252,22040.52,Healthcare,2026-04-19,0,HIGH,2026-06-10 20:52:12
TXN000154,CUST0246,24865.04,Food,2026-03-29,0,HIGH,2026-06-10 20:52:12
TXN000155,CUST0658,27383.43,Travel,2026-03-21,0,HIGH,2026-06-10 20:52:12
TXN000156,CUST0744,31887.31,Food,2026-05-13,0,HIGH,2026-06-10 20:52:12
TXN000157,CUST0774,19339.26,Shopping,2026-01-17,0,HIGH,2026-06-10 20:52:12
TXN000158,CUST0313,32324.02,Food,2026-02-05,0,HIGH,2026-06-10 20:52:12
TXN000159,CUST0159,2044.47,Shopping,2026-06-07,0,LOW,2026-06-10 20:52:12
TXN000160,CUST0635,39817.29,Healthcare,2026-05-10,0,HIGH,2026-06-10 20:52:12
TXN000161,CUST0523,23596.63,Travel,2026-05-28,0,HIGH,2026-06-10 20:52:12
TXN000162,CUST0680,47515.71,Shopping,2026-01-12,0,HIGH,2026-06-10 20:52:12
TXN000163,CUST0105,40789.44,Shopping,2026-03-18,0,HIGH,2026-06-10 20:52:12
TXN000164,CUST0885,9150.19,Shopping,2026-02-25,0,MEDIUM,2026-06-10 20:52:12
TXN000165,CUST0179,28160.8,Healthcare,2026-05-09,0,HIGH,2026-06-10 20:52:12
TXN000166,CUST0543,26518.9,Shopping,2026-03-17,0,HIGH,2026-06-10 20:52:12
TXN000167,CUST0113,49854.07,Travel,2026-01-15,0,HIGH,2026-06-10 20:52:12
TXN000168,CUST0063,23330.15,Healthcare,2026-01-23,0,HIGH,2026-06-10 20:52:12
TXN000169,CUST0173,18097.29,Shopping,2026-05-20,0,HIGH,2026-06-10 20:52:12
TXN000170,CUST0971,9944.28,Shopping,2026-02-27,0,MEDIUM,2026-06-10 20:52:12
TXN000171,CUST0277,44413.04,Food,2026-03-12,0,HIGH,2026-06-10 20:52:12
TXN000172,CUST0543,44304.11,Healthcare,2026-01-06,0,HIGH,2026-06-10 20:52:12
TXN000173,CUST0204,46288.79,Healthcare,2026-01-19,0,HIGH,2026-06-10 20:52:12
TXN000174,CUST0346,6404.18,Travel,2026-04-23,0,MEDIUM,2026-06-10 20:52:12
TXN000175,CUST0708,22025.5,Shopping,2026-05-17,0,HIGH,2026-06-10 20:52:12
TXN000176,CUST0434,17059.63,Shopping,2026-04-06,0,HIGH,2026-06-10 20:52:12
TXN000177,CUST0674,33456.95,Shopping,2026-03-30,0,HIGH,2026-06-10 20:52:12
TXN000178,CUST0371,43142.06,Healthcare,2026-02-27,0,HIGH,2026-06-10 20:52:12
TXN000179,CUST0443,21407.73,Food,2026-02-20,0,HIGH,2026-06-10 20:52:12
TXN000180,CUST0704,26183.34,Healthcare,2026-04-22,0,HIGH,2026-06-10 20:52:12
TXN000181,CUST0700,42648.69,Shopping,2026-03-14,0,HIGH,2026-06-10 20:52:12
TXN000182,CUST0532,35762.49,Healthcare,2026-06-09,0,HIGH,2026-06-10 20:52:12
TXN000183,CUST0606,9436.8,Healthcare,2026-02-23,0,MEDIUM,2026-06-10 20:52:12
TXN000184,CUST0888,42027.18,Healthcare,2026-01-07,0,HIGH,2026-06-10 20:52:12
TXN000185,CUST0359,34982.05,Healthcare,2026-01-01,0,HIGH,2026-06-10 20:52:12
TXN000186,CUST0184,14541.2,Healthcare,2026-02-08,0,HIGH,2026-06-10 20:52:12
TXN000187,CUST0602,43911.85,Shopping,2026-02-06,0,HIGH,2026-06-10 20:52:12
TXN000188,CUST0225,31665.84,Travel,2026-06-02,0,HIGH,2026-06-10 20:52:12
TXN000189,CUST0654,23839.57,Shopping,2026-05-16,0,HIGH,2026-06-10 20:52:12
TXN000190,CUST0969,43397.26,Food,2026-05-20,0,HIGH,2026-06-10 20:52:12
TXN000191,CUST0455,5357.02,Travel,2026-01-02,0,MEDIUM,2026-06-10 20:52:12
TXN000192,CUST0140,42875.65,Shopping,2026-05-03,0,HIGH,2026-06-10 20:52:12
TXN000193,CUST0706,40520.66,Healthcare,2026-03-28,0,HIGH,2026-06-10 20:52:12
TXN000194,CUST0792,18251.58,Food,2026-06-06,0,HIGH,2026-06-10 20:52:12
TXN000195,CUST0082,23720.79,Travel,2026-01-05,0,HIGH,2026-06-10 20:52:12
TXN000196,CUST0373,17140.96,Shopping,2026-02-25,0,HIGH,2026-06-10 20:52:12
TXN000197,CUST0644,32311.08,Food,2026-01-08,0,HIGH,2026-06-10 20:52:12
TXN000198,CUST0561,6900.73,Travel,2026-04-08,0,MEDIUM,2026-06-10 20:52:12
TXN000199,CUST0477,38023.97,Travel,2026-05-13,0,HIGH,2026-06-10 20:52:12
TXN000200,CUST0198,5982.36,Shopping,2026-03-14,1,MEDIUM,2026-06-10 20:52:12
TXN000201,CUST0006,29262.95,Travel,2026-01-15,0,HIGH,2026-06-10 20:52:12
TXN000202,CUST0031,46377.92,Healthcare,2026-02-28,0,HIGH,2026-06-10 20:52:12
TXN000203,CUST0442,45660.71,Food,2026-05-19,0,HIGH,2026-06-10 20:52:12
TXN000204,CUST0540,26335.45,Travel,2026-03-21,0,HIGH,2026-06-10 20:52:12
TXN000205,CUST0120,14059.83,Healthcare,2026-06-06,0,HIGH,2026-06-10 20:52:12
TXN000206,CUST0458,31515.01,Travel,2026-04-16,0,HIGH,2026-06-10 20:52:12
TXN000207,CUST0397,40612.0,Shopping,2026-04-08,0,HIGH,2026-06-10 20:52:12
TXN000208,CUST0144,29712.11,Food,2026-05-27,0,HIGH,2026-06-10 20:52:12
TXN000209,CUST0573,15769.96,Travel,2026-05-04,0,HIGH,2026-06-10 20:52:12
TXN000210,CUST0769,30937.93,Shopping,2026-02-27,0,HIGH,2026-06-10 20:52:12
TXN000211,CUST0485,33316.99,Travel,2026-02-14,0,HIGH,2026-06-10 20:52:12
TXN000212,CUST0363,7559.17,Travel,2026-04-09,0,MEDIUM,2026-06-10 20:52:12
TXN000213,CUST0983,48937.37,Food,2026-04-21,0,HIGH,2026-06-10 20:52:12
TXN000214,CUST0285,47697.3,Food,2026-05-03,0,HIGH,2026-06-10 20:52:12
TXN000215,CUST0344,9479.36,Travel,2026-02-27,0,MEDIUM,2026-06-10 20:52:12
TXN000216,CUST0143,45020.38,Shopping,2026-02-03,0,HIGH,2026-06-10 20:52:12
TXN000217,CUST0461,32295.25,Healthcare,2026-03-02,0,HIGH,2026-06-10 20:52:12
TXN000218,CUST0733,28638.86,Healthcare,2026-06-04,0,HIGH,2026-06-10 20:52:12
TXN000219,CUST0418,23910.16,Food,2026-02-10,0,HIGH,2026-06-10 20:52:12
TXN000220,CUST0527,36101.74,Food,2026-05-09,0,HIGH,2026-06-10 20:52:12
TXN000221,CUST0397,30963.94,Travel,2026-01-19,1,HIGH,2026-06-10 20:52:12
TXN000222,CUST0233,24315.9,Shopping,2026-05-17,0,HIGH,2026-06-10 20:52:12
TXN000223,CUST0657,49042.66,Travel,2026-05-17,0,HIGH,2026-06-10 20:52:12
TXN000224,CUST0471,41164.13,Travel,2026-05-30,0,HIGH,2026-06-10 20:52:12
TXN000225,CUST0408,30087.27,Food,2026-03-20,0,HIGH,2026-06-10 20:52:12
TXN000226,CUST0580,35977.17,Healthcare,2026-02-04,0,HIGH,2026-06-10 20:52:12
TXN000227,CUST0144,31710.84,Shopping,2026-05-06,0,HIGH,2026-06-10 20:52:12
TXN000228,CUST0155,20441.37,Travel,2026-03-03,0,HIGH,2026-06-10 20:52:12
TXN000229,CUST0989,31395.45,Food,2026-06-06,0,HIGH,2026-06-10 20:52:12
TXN000230,CUST0213,27084.21,Shopping,2026-04-19,0,HIGH,2026-06-10 20:52:12
TXN000231,CUST0224,11553.97,Healthcare,2026-02-19,0,HIGH,2026-06-10 20:52:12
TXN000232,CUST0667,26903.67,Shopping,2026-02-06,0,HIGH,2026-06-10 20:52:12
TXN000233,CUST0485,47603.61,Healthcare,2026-02-17,0,HIGH,2026-06-10 20:52:12
TXN000234,CUST0255,3186.72,Food,2026-02-26,0,LOW,2026-06-10 20:52:12
TXN000235,CUST0664,37772.47,Food,2026-03-31,1,HIGH,2026-06-10 20:52:12
TXN000236,CUST0779,651.34,Shopping,2026-01-30,1,LOW,2026-06-10 20:52:12
TXN000237,CUST0979,46439.04,Travel,2026-01-05,0,HIGH,2026-06-10 20:52:12
TXN000238,CUST0302,14653.3,Shopping,2026-01-16,0,HIGH,2026-06-10 20:52:12
TXN000239,CUST0691,33043.53,Healthcare,2026-02-20,0,HIGH,2026-06-10 20:52:12
TXN000240,CUST0120,45119.74,Food,2026-01-22,0,HIGH,2026-06-10 20:52:12
TXN000241,CUST0364,1037.48,Travel,2026-02-19,0,LOW,2026-06-10 20:52:12
TXN000242,CUST0827,41294.12,Food,2026-04-30,0,HIGH,2026-06-10 20:52:12
TXN000243,CUST0234,29722.58,Shopping,2026-01-03,0,HIGH,2026-06-10 20:52:12
TXN000244,CUST0996,14724.36,Shopping,2026-02-13,0,HIGH,2026-06-10 20:52:12
TXN000245,CUST0997,43916.97,Travel,2026-03-22,0,HIGH,2026-06-10 20:52:12
TXN000246,CUST0905,31712.38,Shopping,2026-06-01,0,HIGH,2026-06-10 20:52:12
TXN000247,CUST0874,2251.32,Shopping,2026-01-30,1,LOW,2026-06-10 20:52:12
TXN000248,CUST0023,22096.81,Travel,2026-01-05,0,HIGH,2026-06-10 20:52:12
TXN000249,CUST0559,32566.16,Travel,2026-02-23,0,HIGH,2026-06-10 20:52:12
TXN000250,CUST0847,35126.83,Travel,2026-02-10,0,HIGH,2026-06-10 20:52:12
TXN000251,CUST0363,7330.82,Healthcare,2026-02-25,0,MEDIUM,2026-06-10 20:52:12
TXN000252,CUST0298,32687.67,Healthcare,2026-01-15,0,HIGH,2026-06-10 20:52:12
TXN000253,CUST0370,26636.02,Shopping,2026-01-25,0,HIGH,2026-06-10 20:52:12
TXN000254,CUST0392,7805.39,Shopping,2026-02-24,0,MEDIUM,2026-06-10 20:52:12
TXN000255,CUST0129,36842.79,Travel,2026-03-19,1,HIGH,2026-06-10 20:52:12
TXN000256,CUST0178,42760.06,Travel,2026-05-09,0,HIGH,2026-06-10 20:52:12
TXN000257,CUST0607,27394.26,Healthcare,2026-05-12,0,HIGH,2026-06-10 20:52:12
TXN000258,CUST0113,25212.09,Travel,2026-01-22,0,HIGH,2026-06-10 20:52:12
TXN000259,CUST0812,29149.25,Food,2026-04-11,0,HIGH,2026-06-10 20:52:12
TXN000260,CUST0059,22933.42,Healthcare,2026-04-19,0,HIGH,2026-06-10 20:52:12
TXN000261,CUST0474,2111.54,Shopping,2026-05-29,0,LOW,2026-06-10 20:52:12
TXN000262,CUST0564,17780.93,Shopping,2026-04-17,0,HIGH,2026-06-10 20:52:12
TXN000263,CUST0546,522.63,Travel,2026-03-21,0,LOW,2026-06-10 20:52:12
TXN000264,CUST0849,27251.12,Travel,2026-04-01,1,HIGH,2026-06-10 20:52:12
TXN000265,CUST0973,1724.05,Healthcare,2026-03-15,0,LOW,2026-06-10 20:52:12
TXN000266,CUST0879,49295.77,Shopping,2026-01-16,1,HIGH,2026-06-10 20:52:12
TXN000267,CUST0325,46591.46,Shopping,2026-06-09,0,HIGH,2026-06-10 20:52:12
TXN000268,CUST0249,45638.78,Travel,2026-02-15,0,HIGH,2026-06-10 20:52:12
TXN000269,CUST0397,13383.08,Shopping,2026-04-20,0,HIGH,2026-06-10 20:52:12
TXN000270,CUST0004,32191.03,Shopping,2026-04-05,0,HIGH,2026-06-10 20:52:12
TXN000271,CUST0627,9974.0,Shopping,2026-02-05,0,MEDIUM,2026-06-10 20:52:12
TXN000272,CUST0630,37076.96,Travel,2026-05-18,0,HIGH,2026-06-10 20:52:12
TXN000273,CUST0589,20220.9,Shopping,2026-03-09,0,HIGH,2026-06-10 20:52:12
TXN000274,CUST0914,31443.49,Travel,2026-04-02,0,HIGH,2026-06-10 20:52:12
TXN000275,CUST0275,45757.37,Healthcare,2026-05-22,0,HIGH,2026-06-10 20:52:12
TXN000276,CUST0277,44434.92,Healthcare,2026-02-08,1,HIGH,2026-06-10 20:52:12
TXN000277,CUST0313,40785.82,Food,2026-02-19,0,HIGH,2026-06-10 20:52:12
TXN000278,CUST0072,9351.08,Food,2026-02-12,0,MEDIUM,2026-06-10 20:52:12
TXN000279,CUST0291,10087.75,Healthcare,2026-02-07,0,HIGH,2026-06-10 20:52:12
TXN000280,CUST0298,17744.43,Food,2026-02-11,0,HIGH,2026-06-10 20:52:12
TXN000281,CUST0657,18943.59,Travel,2026-02-13,0,HIGH,2026-06-10 20:52:12
TXN000282,CUST0860,17169.32,Healthcare,2026-03-08,0,HIGH,2026-06-10 20:52:12
TXN000283,CUST0413,46280.37,Healthcare,2026-04-02,0,HIGH,2026-06-10 20:52:12
TXN000284,CUST0695,28125.02,Food,2026-02-16,0,HIGH,2026-06-10 20:52:12
TXN000285,CUST0772,15373.25,Healthcare,2026-01-22,0,HIGH,2026-06-10 20:52:12
TXN000286,CUST0444,19542.98,Shopping,2026-05-14,0,HIGH,2026-06-10 20:52:12
